x1,x2,x3
12588.754757978493,12593.229700776426,12598.055069552767
12597.370134814693,12599.03780565107,12604.626473470124
12600.124685973129,12602.85910870299,12608.34761788318
12599.239919560534,12603.975750889023,12608.330653220528
12597.143391316458,12600.64653908651,12605.711536119761
12598.754827597377,12601.2855934038,12606.923056216898
12596.87274035101,12598.838563142464,12603.128147748903
12612.674928465376,12614.03322700442,12619.112912867458
12609.891596469706,12611.426569578303,12616.793056194705
12608.53320706404,12609.591689693601,12615.141520200696
12609.132779428637,12608.647138711944,12613.803230112118
12608.198028575549,12608.61183804656,12615.232582960514
12608.198854091801,12607.749826359099,12614.693621031161
12621.608287260207,12621.388779126026,12625.953971502095
12622.408914419044,12622.825989748619,12627.217951328052
12623.210992220733,12623.245923715307,12628.224344876371
12623.091173173298,12622.992205688013,12626.50606307099
12620.239206719309,12621.647276533278,12625.287080285507
12623.569369948025,12624.06087212346,12627.258030426807
